id,job_id,task_id,timestamp,src_ip,dst_ip,src_port,dst_port,packet_size,protocol
425,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.693602+00,10.2.1.147,10.2.3.58,42236,53,116,UDP
426,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.693602+00,10.2.1.147,10.2.2.161,50707,53,116,UDP
427,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.697278+00,10.2.1.147,10.2.2.161,49837,53,102,UDP
428,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.697278+00,10.2.1.147,10.2.3.58,50707,53,102,UDP
429,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.699136+00,10.2.1.147,10.2.0.81,37714,9000,74,TCP
1765,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.699704+00,10.2.1.147,10.2.0.81,37714,9000,66,TCP
1766,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.699914+00,10.2.1.147,10.2.0.81,37714,9000,327,TCP
1767,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.701946+00,10.2.1.147,10.2.0.81,37714,9000,66,TCP
1768,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.702093+00,10.2.1.147,10.2.0.81,37714,9000,66,TCP
1769,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.702497+00,10.2.1.147,10.2.3.58,44058,53,132,UDP
1770,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.702563+00,10.2.1.147,10.2.2.161,51791,53,132,UDP
1771,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.710085+00,10.2.1.147,10.2.3.58,52778,53,120,UDP
1772,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.7101+00,10.2.1.147,10.2.3.58,56293,53,120,UDP
1773,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.712256+00,10.2.1.147,10.2.3.58,34080,53,116,UDP
1774,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.712271+00,10.2.1.147,10.2.2.161,42732,53,116,UDP
1775,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.714313+00,10.2.1.147,10.2.2.161,55864,53,102,UDP
1776,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.714412+00,10.2.1.147,10.2.3.58,45730,53,102,UDP
1777,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.716743+00,10.2.1.147,10.2.0.81,37728,9000,74,TCP
1778,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.717234+00,10.2.1.147,10.2.0.81,37728,9000,66,TCP
1779,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.717432+00,10.2.1.147,10.2.0.81,37728,9000,339,TCP
1780,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.720422+00,10.2.1.147,10.2.0.81,37728,9000,66,TCP
1781,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.720666+00,10.2.1.147,10.2.0.81,37728,9000,66,TCP
1782,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.721565+00,10.2.1.147,10.2.2.161,37068,53,154,UDP
1783,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.721614+00,10.2.1.147,10.2.3.58,51266,53,154,UDP
1784,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.723694+00,10.2.1.147,10.2.3.58,58085,53,142,UDP
1785,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.723707+00,10.2.1.147,10.2.3.58,52400,53,142,UDP
1786,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.726304+00,10.2.1.147,10.2.2.161,42236,53,138,UDP
1787,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.726498+00,10.2.1.147,10.2.2.161,54894,53,138,UDP
1788,9eab7baa-6bd1-43c1-b27e-b6c895391d82,7c1619f2-fbff-4504-a901-d65e1aa34cff,2025-06-04 07:40:58.728346+00,10.2.1.147,10.2.3.58,32774,53,124,UDP
430,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,2025-06-04 07:40:58.212246+00,10.2.2.191,10.2.2.174,8080,44074,74,TCP
431,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,2025-06-04 07:40:58.212915+00,10.2.2.191,10.2.2.174,8080,44074,66,TCP
432,9eab7baa-6bd1-43c1-b27e-b6c895391d82,e6b6e527-625b-4ca2-99e4-bca546fb3086,2025-06-04 07:40:58.215475+00,10.2.2.191,10.2.2.161,33737,53,132,UDP
433,9eab7baa-6bd1-43c1-b27e-b6c895391d82,e6b6e527-625b-4ca2-99e4-bca546fb3086,2025-06-04 07:40:58.215581+00,10.2.2.191,10.2.3.58,46749,53,132,UDP
434,9eab7baa-6bd1-43c1-b27e-b6c895391d82,e6b6e527-625b-4ca2-99e4-bca546fb3086,2025-06-04 07:40:58.224559+00,10.2.2.191,10.2.2.161,60885,53,120,UDP
435,9eab7baa-6bd1-43c1-b27e-b6c895391d82,e6b6e527-625b-4ca2-99e4-bca546fb3086,2025-06-04 07:40:58.224662+00,10.2.2.191,10.2.2.161,47981,53,120,UDP
436,9eab7baa-6bd1-43c1-b27e-b6c895391d82,e6b6e527-625b-4ca2-99e4-bca546fb3086,2025-06-04 07:40:58.226909+00,10.2.2.191,10.2.3.58,34361,53,116,UDP
437,9eab7baa-6bd1-43c1-b27e-b6c895391d82,e6b6e527-625b-4ca2-99e4-bca546fb3086,2025-06-04 07:40:58.22698+00,10.2.2.191,10.2.3.58,37380,53,116,UDP
438,9eab7baa-6bd1-43c1-b27e-b6c895391d82,e6b6e527-625b-4ca2-99e4-bca546fb3086,2025-06-04 07:40:58.229334+00,10.2.2.191,10.2.3.58,36054,53,102,UDP
439,9eab7baa-6bd1-43c1-b27e-b6c895391d82,e6b6e527-625b-4ca2-99e4-bca546fb3086,2025-06-04 07:40:58.229345+00,10.2.2.191,10.2.2.161,47930,53,102,UDP
440,9eab7baa-6bd1-43c1-b27e-b6c895391d82,e6b6e527-625b-4ca2-99e4-bca546fb3086,2025-06-04 07:40:58.234245+00,10.2.2.191,10.2.0.81,43374,9000,74,TCP
